"date","close","volume","open","high","low"

"2019/05/17","185.3000","10485370.0000","186.9900","187.5800","184.2800"
"2019/05/16","186.9900","12953110.0000","186.2700","188.5750","185.0500"
"2019/05/15","186.2700","16746900.0000","180.7300","187.2800","180.0200"
"2019/05/14","180.7300","17628140.0000","181.5400","183.4900","178.1000"
"2019/05/13","181.5400","16833350.0000","188.3400","185.4300","180.8400"
"2019/05/10","188.3400","12578510.0000","188.6500","190.0000","184.5900"
"2019/05/09","188.6500","12967030.0000","189.5400","189.7700","186.2600"
"2019/05/08","189.5400","12505740.0000","189.7700","190.7200","188.5500"
"2019/05/07","189.7700","16253000.0000","193.8800","192.9000","187.8500"
"2019/05/06","193.8800","13994930.0000","195.4700","194.2800","190.5500"
"2019/05/03","195.4700","14575430.0000","192.5300","196.1600","193.7100"
"2019/05/02","192.5300","13209450.0000","193.0300","194.0000","189.7500"
"2019/05/01","193.0300","15996650.0000","193.4000","196.1770","193.0100"
"2019/04/30","193.4000","23309400.0000","194.1900","197.3900","192.2800"
"2019/04/29","194.7800","19538750.0000","190.9500","195.4100","190.6500"
"2019/04/26","191.4900","21947170.0000","192.5000","192.9000","189.0900"
"2019/04/25","193.2600","54088650.0000","196.9800","198.4800","192.1200"
"2019/04/24","182.5800","34957090.0000","184.4900","185.1400","181.6500"
"2019/04/23","183.7800","19631900.0000","182.7400","184.2200","181.4800"
"2019/04/22","181.4400","13348950.0000","178.2500","181.6650","178.2500"
"2019/04/18","178.2800","11639990.0000","178.8000","178.8800","177.3400"
"2019/04/17","178.7800","9520718.0000","179.6000","180.7400","178.3600"
"2019/04/16","178.8700","11185690.0000","179.0000","180.1700","178.3000"
"2019/04/15","179.6500","10827980.0000","178.5000","180.5000","176.8700"
"2019/04/12","179.1000","12321770.0000","178.0000","179.6300","177.9500"
"2019/04/11","177.5100","8048582.0000","178.2400","178.4000","177.0000"
"2019/04/10","177.8200","11684940.0000","178.1800","178.7900","176.5400"
"2019/04/09","177.5800","19599420.0000","175.6200","179.1900","175.5500"
"2019/04/08","174.9300","7287902.0000","175.2100","175.5000","174.2300"
"2019/04/05","175.7200","9499559.0000","176.8800","177.0000","175.1000"
"2019/04/04","176.0200","17768670.0000","176.0200","178.0000","175.5301"
"2019/04/03","173.5400","27380570.0000","174.5000","177.9600","172.9500"
"2019/04/02","174.2000","23926430.0000","170.1400","174.9000","169.5500"
"2019/04/01","168.7000","10122200.0000","167.8300","168.9000","167.2789"
"2019/03/29","166.6900","13450640.0000","166.3900","167.1900","164.8100"
"2019/03/28","165.5500","10457910.0000","164.5700","166.7200","163.3300"
"2019/03/27","165.8700","10603100.0000","167.8500","168.9400","164.7900"
"2019/03/26","167.6800","15274610.0000","167.3500","169.4500","166.3499"
"2019/03/25","166.2900","12306150.0000","163.0000","166.5400","162.0000"
"2019/03/22","164.3400","16375210.0000","165.6500","167.4200","164.0900"
"2019/03/21","166.0800","16049850.0000","164.8900","166.3900","163.7500"
"2019/03/20","165.4400","19934930.0000","161.5000","166.1200","161.2400"
"2019/03/19","161.5700","24608800.0000","161.4800","163.8200","160.8200"
"2019/03/18","160.4700","35094650.0000","163.5700","163.9000","159.2800"
"2019/03/15","165.9800","37088870.0000","167.1600","167.5800","162.5100"
"2019/03/14","170.1700","17882100.0000","169.7600","171.1500","168.1600"
"2019/03/13","173.3700","11514940.0000","172.3200","174.0300","172.1200"
"2019/03/12","171.9200","12136730.0000","172.0900","173.8000","171.2178"
"2019/03/11","172.0700","18534610.0000","171.6000","174.3000","171.5800"
"2019/03/08","169.6000","12737410.0000","166.2000","169.6200","165.9700"
"2019/03/07","169.1300","18200280.0000","171.5000","171.7400","167.6100"
"2019/03/06","172.5100","20775850.0000","172.9000","173.5700","171.2700"
"2019/03/05","171.2600","26581790.0000","167.3700","171.8800","166.5500"
"2019/03/04","167.3700","18864670.0000","163.9000","167.5000","163.8300"
"2019/03/01","162.2800","11022100.0000","162.6000","163.1320","161.6900"
"2019/02/28","161.4500","11083060.0000","162.3700","163.5000","160.8600"
"2019/02/27","162.8100","12685830.0000","162.9000","163.9300","160.4100"
"2019/02/26","164.1300","13630540.0000","164.3350","166.2400","163.8000"
"2019/02/25","164.6200","17615000.0000","163.0700","166.0700","162.9000"
"2019/02/22","161.8900","15845990.0000","160.5800","162.4100","160.3100"
"2019/02/21","160.0400","15455630.0000","161.9300","162.2400","159.5900"
"2019/02/20","162.5600","11758420.0000","162.2500","163.7200","161.2500"
"2019/02/19","162.2900","14320590.0000","160.5000","164.1500","160.3300"
